,Country Name,Country Code,Population,Working Age Population Percent,Urban Population Percent,Rural Population Percent,Life Expectancy Years,Refugees by Origin,Refugees by Destination,Land Area Sq km,Forest Area Sq km,Agricultural Land Percent,Arable Land Percent,CO2 Tonnes per Capita,Low Elevation Percent,Water Percent,Irrigation Percent,Fertilizer Intensity,GDP per Capita PPP,Gini Index,Agriculture Percent GDP,Industry Percent GDP,Military Percent GDP,Energy MM BTU per Capita,Renewable Percent,Attended Births Percent,Contraceptive Percent,Diabetes Percent,HIV Prevalence Percent,Immunized DPT Percent,Immunized Measles Percent,Mortality Communicable Percent,Mortality Infant per 1K,Mortality Injury Percent,Mortality Maternal per 100K,Mortality Non-Communicable Deaths Percent,Mortality Traffic per 100K,Surgeons per 100K,Teen Fertility per 1K,Tuberculosis per 100K,Undernourished Percent
110,Thailand,THA,71697030.0,69.2679087911167,52.889,47.111,78.715,201.0,94472.0,510890.0,38.8283192076572,45.9981600735971,33.568870011157,3.71425580600412,17.4710387027151,25.5253663533918,,139.361312536443,20679.1194757004,35.1,8.81462405001291,34.9962429986559,1.15764084576469,76.37802646515227,79.83902265055,99.1,73.0,9.7,1.0,97.0,96.0,13.9039699177043,7.1,9.51406469826445,29.0,76.5819668572181,32.2,13.09,32.744,155.0,5.2
111,San Marino,SMR,33660.0,66.8008496605814,97.732,2.268,,5.0,,60.0,16.6666666666667,38.3333333333333,33.0833333333333,,0.0,,,130.921914357683,67982.970511185,,0.0166253927822017,36.6355581623352,,,,,,7.4,,92.0,91.0,,1.5,,,,0.0,112.86,3.751,0.0,
112,Haiti,HTI,11584996.0,63.3809223318214,58.82,41.18,63.192,30304.0,5.0,27560.0,12.4887518142235,65.1306240928882,36.4658925979681,0.283815024249564,4.07394014873398,11.1478434689014,3.86847195357834,7.42697512437811,3306.17082412482,41.1,20.2753493118711,29.3411380294207,0.0691842245934902,15.814668538828407,22.0158940416487,41.6,34.3,8.9,1.8,51.0,65.0,24.6562332642119,45.4,10.6268315967256,350.0,64.7169351587221,18.8,5.88,52.545,154.0,45.0
113,Dominican Rep.,DOM,11228821.0,65.4874095864561,83.848,16.152,72.615,724.0,546.0,47531.0,45.2797121878353,51.1034903536639,18.4511161136942,2.08018172191441,1.84398033192546,30.3702127659574,12.2716961712639,162.194754846066,22841.0897955951,38.5,5.78799123566876,33.0696648664408,0.717637598102462,29.471907239123464,86.5635959798664,99.2,62.8,10.5,0.9,88.0,91.0,12.5757640797339,27.3,15.48988619393,107.0,71.9343488283774,64.6,,65.629,43.0,6.3
114,Chad,TCD,17723315.0,50.4824788839582,24.063,75.937,52.525,12810.0,592764.0,1259200.0,3.33650992693774,39.9761753494282,4.20902160101652,0.0942281870969025,0.0,5.864,,2.24479245283019,1668.57552569893,37.5,22.5951024858583,49.4603920241211,2.92548684152958,,,38.8,8.1,5.8,1.1,60.0,56.0,63.4475184752633,66.0,9.56702741121068,1063.0,26.9854526457781,32.4,0.29,138.306,140.0,31.4
115,Kuwait,KWT,4268873.0,74.3539922597838,100.0,0.0,78.673,1979.0,684.0,17820.0,0.350729517396184,8.41750841750842,0.448933782267116,21.1696102506992,4.75710089918604,,,1208.14375,58349.2114120915,,0.457473273148835,45.4263566498343,4.53134521182107,357.13494166952,93.6898894512707,99.9,52.0,24.9,,96.0,99.0,7.08553117120388,7.5,13.5451957149019,7.0,79.3692717439555,15.4,,5.638,12.0,2.5
116,El Salvador,SLV,6336392.0,66.3633736675382,74.767,25.233,70.748,58637.0,104.0,20720.0,27.9623552123552,57.707528957529,34.7972972972973,1.01328024350636,0.867601174074275,2.489443378119,2.01028686125282,92.1950624133148,11098.0983942883,38.8,4.74084543804742,25.1653804766701,1.32039410209497,25.963994952593822,48.4295873408768,99.9,71.8,6.3,0.5,75.0,65.0,15.7989247028582,10.7,19.0934834826794,43.0,65.1075874676011,20.9,22.26,55.89,50.0,7.7
117,Guatemala,GTM,17357886.0,62.6927044232687,52.666,47.334,69.237,30278.0,701.0,107160.0,32.812616648003,43.0384471817842,14.501679731243,1.00040733564819,0.206295001583779,3.04404761904762,6.30632451000202,219.349613899614,10821.7554497323,48.3,9.30653254881256,22.649550528696,0.462491769474559,34.243098961696596,37.3785969634422,69.6,60.6,13.1,0.2,79.0,83.0,22.3097034591438,19.6,16.1241799000554,96.0,61.5661164563163,22.9,3.4,64.054,26.0,13.3
118,Timor-Leste,TLS,1341296.0,60.0815554508475,32.074,67.926,67.737,6.0,,14870.0,61.8493611297915,22.9589778076664,7.49831876260928,0.343155165981408,2.96618589653714,14.2665855143031,8.59904818560381,0.52932735426009,4657.38225133718,28.7,10.2298461067046,53.7540241010774,1.10708519569663,2.3728891208422533,0.0,56.7,26.0,8.6,0.2,86.0,79.0,40.0552374196527,43.1,6.86081927085795,204.0,53.083942403429,11.9,0.9,33.877,498.0,22.3
119,Brunei,BRN,449002.0,71.7734795986205,78.854,21.146,74.642,47.0,,5270.0,72.1062618595825,2.5426944971537,0.759013282732448,21.7058124398664,20.8709672386749,1.08235294117647,0.806451612903226,177.25,69297.9327104333,,1.09616028876241,67.9255854192344,2.3696474066313,338.2293662853772,99.9951884698856,99.8,,11.1,,99.0,97.0,10.3409807344221,9.6,4.98998923708015,44.0,84.6690303548102,7.5,,9.978,57.0,
